0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Idx,Period H1,FMA H1,SLMA H1,550MA H1,DeltaC H1,Macd H1,Plot2 H1,Plot3 H1,Plot4 H1,Idx,Period M15,FMA M15,SLMA M15,550MA M15,DeltaC M15,Macd M15,Plot2 M15,Plot3 M15,Plot4 M15,Idx,Period M5,FMA M5,SLMA M5,550MA M5,DeltaC M5,Macd M5,Plot2 M5,Plot3 M5,Plot4 M5,Idx,Period M1,FMA M1,SLMA M1,550MA M1,DeltaC M1,Macd M1,Plot2 M1,Plot3 M1,Plot4 M1
10,2024.06.03 02:00:00,1.08418,1.08380,1.07818,Positive,0.000557,0.000166,-0.000081,-0.000104,10,2024.06.03 10:00:00,1.08525,1.08516,1.08439,Positive,-0.000000,0.000322,0.000329,0.000451,10,2024.06.03 11:45:00,1.08437,1.08463,1.08401,Negative,-0.000348,-0.000314,-0.000096,-0.000116,10,2024.06.03 12:26:00,1.08370,1.08376,1.08480,Negative,-0.000053,-0.000161,-0.000157,-0.000221
11,2024.06.03 01:00:00,1.08411,1.08374,1.07817,Positive,0.000561,0.000134,-0.000095,-0.000122,11,2024.06.03 09:45:00,1.08524,1.08515,1.08439,Positive,0.000012,0.000332,0.000333,0.000456,11,2024.06.03 11:40:00,1.08441,1.08467,1.08401,Negative,-0.000361,-0.000302,-0.000089,-0.000106,11,2024.06.03 12:25:00,1.08370,1.08377,1.08480,Negative,-0.000066,-0.000165,-0.000159,-0.000222
12,2024.06.03 00:00:00,1.08404,1.08368,1.07815,Positive,0.000576,0.000104,-0.000108,-0.000138,12,2024.06.03 09:30:00,1.08522,1.08513,1.08438,Positive,-0.000024,0.000329,0.000333,0.000455,12,2024.06.03 11:35:00,1.08445,1.08470,1.08401,Negative,-0.000364,-0.000286,-0.000081,-0.000096,12,2024.06.03 12:24:00,1.08370,1.08377,1.08480,Negative,-0.000071,-0.000165,-0.000159,-0.000223
13,2024.05.31 23:00:00,1.08399,1.08365,1.07814,Positive,0.000617,0.000080,-0.000119,-0.000153,13,2024.06.03 09:15:00,1.08522,1.08514,1.08438,Positive,-0.000046,0.000331,0.000334,0.000457,13,2024.06.03 11:30:00,1.08449,1.08473,1.08401,Negative,-0.000378,-0.000273,-0.000074,-0.000086,13,2024.06.03 12:23:00,1.08371,1.08378,1.08480,Negative,-0.000081,-0.000167,-0.000160,-0.000224
14,2024.05.31 22:00:00,1.08393,1.08359,1.07813,Positive,0.000664,0.000056,-0.000130,-0.000167,14,2024.06.03 09:00:00,1.08524,1.08514,1.08438,Positive,-0.000019,0.000347,0.000340,0.000464,14,2024.06.03 11:25:00,1.08453,1.08477,1.08401,Negative,-0.000413,-0.000264,-0.000069,-0.000079,14,2024.06.03 12:22:00,1.08372,1.08379,1.08481,Negative,-0.000077,-0.000165,-0.000159,-0.000223
15,2024.05.31 21:00:00,1.08387,1.08355,1.07812,Positive,0.000682,0.000020,-0.000144,-0.000185,15,2024.06.03 08:45:00,1.08525,1.08514,1.08438,Positive,-0.000007,0.000358,0.000344,0.000469,15,2024.06.03 11:20:00,1.08459,1.08481,1.08401,Negative,-0.000410,-0.000244,-0.000059,-0.000066,15,2024.06.03 12:21:00,1.08373,1.08380,1.08481,Negative,-0.000084,-0.000165,-0.000160,-0.000224
16,2024.05.31 20:00:00,1.08383,1.08351,1.07811,Positive,0.000778,0.000004,-0.000152,-0.000195,16,2024.06.03 08:30:00,1.08525,1.08515,1.08438,Positive,-0.000007,0.000365,0.000347,0.000472,16,2024.06.03 11:15:00,1.08465,1.08486,1.08401,Negative,-0.000401,-0.000222,-0.000050,-0.000054,16,2024.06.03 12:20:00,1.08374,1.08381,1.08481,Negative,-0.000085,-0.000164,-0.000160,-0.000223
17,2024.05.31 19:00:00,1.08376,1.08346,1.07809,Positive,0.000842,-0.000026,-0.000164,-0.000210,17,2024.06.03 08:15:00,1.08527,1.08515,1.08438,Positive,0.000022,0.000381,0.000352,0.000479,17,2024.06.03 11:10:00,1.08474,1.08492,1.08401,Negative,-0.000360,-0.000191,-0.000038,-0.000038,17,2024.06.03 12:19:00,1.08375,1.08381,1.08481,Negative,-0.000087,-0.000163,-0.000160,-0.000223
18,2024.05.31 18:00:00,1.08370,1.08341,1.07808,Positive,0.000909,-0.000059,-0.000177,-0.000226,18,2024.06.03 08:00:00,1.08527,1.08514,1.08438,Positive,0.000029,0.000389,0.000355,0.000482,18,2024.06.03 11:05:00,1.08482,1.08498,1.08401,Negative,-0.000307,-0.000159,-0.000025,-0.000022,18,2024.06.03 12:18:00,1.08376,1.08382,1.08481,Negative,-0.000096,-0.000164,-0.000160,-0.000224
19,2024.05.31 17:00:00,1.08361,1.08334,1.07807,Positive,0.000995,-0.000091,-0.000189,-0.000242,19,2024.06.03 07:45:00,1.08526,1.08514,1.08437,Positive,0.000025,0.000394,0.000356,0.000484,19,2024.06.03 11:00:00,1.08490,1.08503,1.08402,Negative,-0.000245,-0.000128,-0.000014,-0.000006,19,2024.06.03 12:17:00,1.08377,1.08383,1.08482,Negative,-0.000091,-0.000160,-0.000159,-0.000223
20,2024.05.31 16:00:00,1.08344,1.08321,1.07805,Positive,0.000991,-0.000151,-0.000210,-0.000268,20,2024.06.03 07:30:00,1.08527,1.08513,1.08437,Positive,0.000037,0.000403,0.000359,0.000487,20,2024.06.03 10:55:00,1.08497,1.08508,1.08402,Negative,-0.000204,-0.000105,-0.000005,0.000006,20,2024.06.03 12:16:00,1.08379,1.08384,1.08482,Negative,-0.000086,-0.000157,-0.000159,-0.000222
21,2024.05.31 15:00:00,1.08318,1.08304,1.07804,Positive,0.000838,-0.000253,-0.000243,-0.000310,21,2024.06.03 07:15:00,1.08526,1.08512,1.08437,Positive,0.000041,0.000410,0.000362,0.000490,21,2024.06.03 10:50:00,1.08503,1.08511,1.08402,Negative,-0.000145,-0.000079,0.000005,0.000018,21,2024.06.03 12:15:00,1.08380,1.08386,1.08482,Negative,-0.000083,-0.000155,-0.000158,-0.000221
22,2024.05.31 14:00:00,1.08289,1.08289,1.07802,Positive,0.000516,-0.000392,-0.000286,-0.000366,22,2024.06.03 07:00:00,1.08525,1.08511,1.08437,Positive,0.000035,0.000414,0.000363,0.000491,22,2024.06.03 10:45:00,1.08508,1.08514,1.08401,Negative,-0.000103,-0.000060,0.000012,0.000027,22,2024.06.03 12:14:00,1.08382,1.08387,1.08482,Negative,-0.000069,-0.000150,-0.000157,-0.000220
23,2024.05.31 13:00:00,1.08272,1.08280,1.07801,Positive,0.000377,-0.000466,-0.000308,-0.000394,23,2024.06.03 06:45:00,1.08526,1.08512,1.08437,Positive,0.000048,0.000423,0.000366,0.000494,23,2024.06.03 10:40:00,1.08511,1.08515,1.08401,Negative,-0.000074,-0.000047,0.000017,0.000034,23,2024.06.03 12:13:00,1.08384,1.08388,1.08483,Negative,-0.000061,-0.000147,-0.000157,-0.000219
24,2024.05.31 12:00:00,1.08257,1.08272,1.07800,Negative,0.000225,-0.000537,-0.000328,-0.000420,24,2024.06.03 06:30:00,1.08528,1.08512,1.08437,Positive,0.000086,0.000439,0.000370,0.000500,24,2024.06.03 10:35:00,1.08511,1.08516,1.08401,Negative,-0.000083,-0.000046,0.000018,0.000036,24,2024.06.03 12:12:00,1.08385,1.08388,1.08483,Negative,-0.000058,-0.000146,-0.000157,-0.000219
25,2024.05.31 11:00:00,1.08244,1.08266,1.07799,Negative,0.000051,-0.000607,-0.000347,-0.000444,25,2024.06.03 06:15:00,1.08528,1.08511,1.08436,Positive,0.000114,0.000450,0.000373,0.000504,25,2024.06.03 10:30:00,1.08512,1.08517,1.08401,Negative,-0.000085,-0.000042,0.000021,0.000039,25,2024.06.03 12:11:00,1.08386,1.08389,1.08483,Negative,-0.000049,-0.000144,-0.000157,-0.000219
26,2024.05.31 10:00:00,1.08238,1.08264,1.07798,Negative,-0.000036,-0.000644,-0.000356,-0.000454,26,2024.06.03 06:00:00,1.08527,1.08510,1.08436,Positive,0.000129,0.000456,0.000375,0.000505,26,2024.06.03 10:25:00,1.08515,1.08519,1.08401,Negative,-0.000074,-0.000035,0.000024,0.000044,26,2024.06.03 12:10:00,1.08388,1.08391,1.08483,Negative,-0.000038,-0.000142,-0.000156,-0.000218
27,2024.05.31 09:00:00,1.08240,1.08267,1.07797,Negative,-0.000032,-0.000653,-0.000354,-0.000452,27,2024.06.03 05:45:00,1.08526,1.08508,1.08436,Positive,0.000127,0.000457,0.000375,0.000504,27,2024.06.03 10:20:00,1.08518,1.08521,1.08401,Negative,-0.000035,-0.000021,0.000029,0.000051,27,2024.06.03 12:09:00,1.08390,1.08392,1.08483,Negative,-0.000013,-0.000136,-0.000155,-0.000217
28,2024.05.31 08:00:00,1.08241,1.08269,1.07796,Negative,-0.000041,-0.000665,-0.000354,-0.000451,28,2024.06.03 05:30:00,1.08525,1.08507,1.08436,Positive,0.000139,0.000461,0.000376,0.000505,28,2024.06.03 10:15:00,1.08521,1.08523,1.08401,Negative,-0.000003,-0.000010,0.000033,0.000056,28,2024.06.03 12:08:00,1.08391,1.08392,1.08484,Negative,-0.000001,-0.000135,-0.000155,-0.000217
